,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cat Person,Dog Person,Introvert,Extrovert,Clean,Messy,Competitive,Laid Back,Anxious,Optimist,Pessimist,Lazy,Workaholic,Vegan,Animal Rights Activist,Conservative Capitalist,Feminist,Men's Rights Activist,Socially Liberal,Religious,Anarchist,Authoritarian,Hunting,Fishing,Table Tennis,Bird Watching,Kiting,Surfing,Kite Surfing,Amusement Parks,Movies,Long walks on the beach,Feeding Ducks in the Park,Swimming with Dolphins,Petting Zoos,Playing Patty Cake,Ballroom Dancing,Roller Disco,Karaoke,Music
Cat Person,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Dog Person,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Introvert,,,-1,1,1,-1,-1,1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Extrovert,,,,1,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean,,,,,1,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Messy,,,,,,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Competitive,,,,,,,-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laid Back,,,,,,,,1,-1,1,-1,1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,0,0,-1,-1,1,1
Anxious,,,,,,,,,1,0,1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,1,0,-1,0,-1,0,0,0,-1,1,0,1,-1,0,0
Optimist,,,,,,,,,,1,-1,0,0,0,0,0,1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pessimist,,,,,,,,,,,1,-1,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lazy,,,,,,,,,,,,1,-1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
Workaholic,,,,,,,,,,,,,1,0,0,1,0,1,1,0,1,1,0,0,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
Vegan,,,,,,,,,,,,,,1,1,-1,1,0,1,0,1,0,-1,-1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Animal Rights Activist,,,,,,,,,,,,,,,1,0,0,-1,,,,,,,,,,,,,,,,,,,,,,
Conservative Capitalist,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Feminist,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Men's Rights Activist,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Socially Liberal,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Religious,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Anarchist,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Authoritarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Tennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird Watching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kite Surfing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amusement Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long walks on the beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feeding Ducks in the Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swimming with Dolphins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petting Zoos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Playing Patty Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballroom Dancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roller Disco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karaoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
